 1199 -2918 1457     -13 115 -8     -7 8 -10 
 2686 1290 572     -106 16 -41     -2 -7 1 
 1153 3663 152     -110 35 45     5 -19 -5 
 -3257 -957 -2620     45 35 -32     10 1 14 
 -4958 4524 -2179     16 -127 13     20 -8 8 
 -1913 2844 -898     47 -135 40     4 0 0 
 -3826 -5200 5502     -27 -24 31     8 10 -11 
 50 -7529 4380     34 27 -6     -2 11 -7 
 -362 3 273     20 20 -5     3 -4 -4 
 -927 -577 -887     82 89 56     2 -6 6 
 -942 -727 1133     78 -6 -102     3 14 -2 
 -92 -817 -222     -73 80 17     15 0 1 
 -1062 -87 -642     68 7 59     7 0 1 
 -532 -1332 -537     4 27 65     9 19 -2 
 8 888 968     -17 -19 -58     3 -13 -7 
 -1188 -1222 249     -13 12 39     5 3 -4 
 -672 -814 1713     28 45 3     0 -1 -6 
 612 -4354 3273     87 30 -87     -9 12 -4 
 3048 -2098 -3435     -27 86 80     -8 0 5 
 2556 3434 1137     31 -32 2     -11 -9 -4 
 -372 710 -1851     -47 -31 -61     5 0 11 
 -648 -2698 705     2 136 20     2 -2 -4 
 564 146 -2007     -36 -70 108     1 5 -2 
 2040 662 -6411     -85 -29 129     0 0 11 
 -5642 -1168 -495     101 -74 -40     7 8 4 
 -3724 -3058 -1279     -11 -21 -41     10 9 6 
 -1540 -5046 -2875     56 79 74     0 7 2 
 336 -3506 345     47 82 17     -4 3 -2 
 5432 3088 2375     39 -52 -99     -16 -4 1 
 1792 1716 -2749     -63 55 26     0 -8 5 
 -1274 316 723     148 76 -40     -7 -6 1 
 924 -104 4223     -32 4 -49     0 0 -7 
 1484 -832 107     -168 30 -18     8 0 1 
 -8594 3021 4906     21 28 4     14 -7 -9 
 10084 -1137 -5786     -86 35 90     -13 0 5 
 -5030 5628 -2420     -2 -170 73     9 0 0 
 -2324 -2952 220     1 124 44     4 -2 -3 
 2857 2757 55     -3 2 -36     -5 -5 2 
 3319 -2523 2497     -34 26 26     -4 3 -6 
 5256 903 -1020     76 11 65     -12 -2 -2 
 8028 5151 -1038     -1 -33 84     -12 -6 -3 
 3690 -4065 1266     -47 75 57     -3 2 -5 
 6606 5403 7026     -17 -40 -66     -9 -6 -7 
 -1638 1383 1338     11 -86 -51     14 -2 -6 
 896 1026 -622     -5 -98 -1     -8 3 6 
 763 1425 309     -78 -134 0     3 4 -3 
 1001 -619 113     55 72 44     -17 -4 -7 
 1191 109 1991     -116 -48 -8     5 3 -4 
 3453 -1718 -5230     136 60 46     -17 0 9 
 -2666 -2646 -4621     32 47 40     4 3 8 
 1436 -2829 1966     -51 -16 -45     -2 15 -5 
 696 2161 -2404     -35 -108 100     0 0 2 
 2486 2401 -1224     -9 48 20     -11 -16 4 
 3046 261 1116     -37 71 -139     -11 -8 8 
 -104 2751 2326     -121 -85 -42     12 -5 -7 
 -1044 -249 496     73 -19 -45     -2 3 2 
 556 -289 1826     -28 -59 67     0 7 -15 
 -274 1131 -44     -18 -46 45     3 -1 -4 
 2266 1141 -504     -19 -78 26     -9 2 0 
 -891 -129 1722     -121 92 -73     15 -8 -1 
 243 -2439 3276     23 70 -158     -3 4 0 
 -72 -339 399     -17 3 -10     2 1 -1 
 1461 -759 2205     -57 -109 -30     -1 13 -7 
 -597 -1536 882     30 -39 -33     0 10 -1 
 2469 -1683 1533     49 -10 -152     -15 8 7 
 957 3441 1428     -143 -1 106     9 -15 -16 
 -2487 -927 -5271     32 -35 194     8 7 5 
 915 585 1701     -97 -8 -83     5 -2 0 
 -1975 2665 -1727     138 -30 49     -4 -9 3 
 -2122 -23 -2945     24 76 74     7 -7 6 
 150 1353 672     36 -115 -12     -5 4 -3 
 2139 -1299 1437     -144 -4 -93     2 9 1 
 -955 3036 298     74 -79 -8     -2 -11 -1 
 2156 -1418 -1640     -46 84 34     -9 0 7 
 -938 -1418 808     82 66 25     -3 2 -8 
 -2179 -109 -382     146 25 -31     -2 -2 6 
 2139 1727 -280     -63 -74 -46     -7 -3 7 
 -1006 622 -59     77 -54 -5     -2 2 1 
 235 894 349     -113 -79 43     11 3 -7 
 2258 452 1624     -88 37 -32     -5 -7 -7 
 6485 8607 10076     -46 61 -99     -6 -14 -8 
 15533 4551 638     -78 -55 -57     -16 -3 2 
 128 6540 4148     -3 114 -67     0 -14 -2 
 11555 3186 2081     -116 0 -114     -9 -4 3 
 9371 -3015 -6031     20 79 54     -13 0 5 
 -12586 339 -7786     3 -7 59     16 0 7 
 -2056 -7383 -4705     -67 11 0     6 9 6 
 1025 2796 -13480     -126 -70 -15     5 0 18 
 -11416 -1962 -766     -47 12 39     17 2 -1 
 1103 -558 3212     -88 -24 -83     3 2 0 
 -56 -3584 3008     78 86 -151     -6 5 2 
 1072 -5108 -1720     -44 112 71     0 8 0 
 -1256 1936 -1384     28 -69 57     2 -1 0 
 1996 -992 1472     -120 -22 -12     3 5 -4 
 3376 1324 908     -140 -31 -101     0 -2 5 
 3604 412 6920     -62 -43 -189     -7 2 -8 
 -176 4384 2204     -17 -21 -80     2 -13 -1 
 -992 -1196 -3616     42 49 50     0 0 8 
 -353 -1549 -1122     -72 -82 26     6 10 1 
 727 -3169 -2337     0 6 -97     -2 8 13 
 -1973 -1387 -3282     44 -60 92     2 8 2 
 1159 -118 2712     96 75 -46     -10 -5 -4 
 -974 260 -2553     -105 -51 37     10 3 4 
 1645 2069 2388     50 22 -20     -8 -7 -5 
 1726 2420 -3930     -79 -19 46     1 -5 7 
 1564 4364 1740     53 -91 -38     -8 -5 -2 
 6496 8583 -2797     -129 -57 50     -4 -12 2 
 919 -6234 4727     74 188 9     -6 0 -9 
 2272 -2736 7796     -1 -3 -67     -4 5 -10 
 -9674 -558 9809     72 -52 -26     13 4 -16 
 8542 3765 -124     -55 89 20     -12 -12 -1 
 1909 3138 1790     -41 74 -21     -1 -10 -2 
 -1419 1399 -3011     42 -26 -27     0 -1 7 
 1716 -4244 5569     -53 -178 -32     0 18 -8 
 6270 211 -10931     -38 78 60     -9 -5 16 
 -5181 -3452 -338     71 36 62     5 4 -3 
 -6105 -8402 -5915     31 -1 27     9 15 9 
 -1848 310 -1097     4 92 17     3 -6 1 
 2803 -1755 -532     -71 13 2     -5 6 2 
 691 2348 -785     48 -24 71     -7 -7 -3 
 -233 4779 -994     -48 -31 0     5 -16 4 
 119 -4021 238     -41 93 -10     3 8 0 
 -1168 -3647 -3392     52 76 132     0 8 2 
 -1845 -443 -822     -24 -30 1     11 5 4 
 2315 1487 4428     -64 -53 -83     -5 -2 -13 
 3255 -2683 -772     -132 82 -12     -3 5 5 
 -1405 487 108     -25 -45 70     9 2 -7 
 -2315 1877 -1142     73 1 38     4 -9 2 
 -1975 -2143 -3372     -28 13 13     12 9 15 
 1945 3157 2138     28 -147 21     -12 -1 -12 
 -3555 977 708     114 -59 -2     6 1 -3 
 5865 5127 -4422     -105 -67 118     -18 -18 10 
 -3264 2343 -3273     79 -72 127     11 -6 6 
 3387 -2301 1992     -53 129 15     -14 0 -13 
 2295 5276 1762     -104 -67 -57     0 -15 -2 
 -2072 -774 1036     37 -22 68     5 5 -10 
 447 865 1300     -20 -39 -36     0 0 -2 
 -1467 -1852 2323     90 50 -117     -2 3 1 
 4473 -664 -1241     -157 -4 45     -4 3 1 
 1580 -1621 -2572     32 5 48     -9 6 6 
 9680 -3138 -4267     -41 22 -84     -14 4 12 
 -4107 4648 2023     32 3 -59     5 -8 0 
 -673 1860 7004     36 -55 -48     -1 0 -9 
 8337 7453 2516     -159 -132 84     -5 -5 -9 
 2276 -3123 -1445     -62 44 37     -6 12 4 
 -1885 -64 1576     27 33 -12     7 -3 -7 
 -7265 156 268     89 -23 -25     6 1 1 
 -9137 3036 826     104 8 -133     8 -5 6 
 -6167 -1770 -4592     77 86 73     5 -2 3 
 -1685 -2976 2824     45 27 -22     0 3 -3 
 5821 -870 5740     3 -13 -29     -9 2 -7 
 331 1596 232     -11 -100 -135     0 3 7 
 -1230 1100 -8455     87 -67 165     -3 2 6 
 -1470 5772 3641     -21 -81 18     4 -6 -8 
 7026 -2852 1913     -6 106 6     -13 -1 -4 
 -5422 5132 -5575     -13 -160 42     11 0 8 
 3792 1660 -43     -175 -121 15     -9 1 -2 
 42 -620 -778     3 39 24     0 0 3 
 -318 -1370 1697     11 137 -85     2 -6 -4 
 1842 130 -613     -69 -11 -19     -6 0 7 
 -963 3070 -2218     30 -151 144     5 -7 0 
 2847 -2795 1532     -112 80 -74     -9 13 -4 
 747 -875 197     12 56 -17     -7 0 0 
 627 -80 1022     -36 27 -128     0 -3 7 
 2667 655 1427     -108 -14 -91     -8 -4 -1 
 1002 -215 962     35 -28 -108     -12 5 5 
 -849 -4500 291     -67 65 22     6 5 -2 
 6405 4180 5499     -125 9 -18     -5 -9 -10 
 4576 -4128 1562     -66 53 -3     -5 5 -3 
 391 4738 -2189     37 -89 70     -3 -4 0 
 -1004 863 12     82 -108 15     -3 5 -1 
 1352 1514 -4390     -10 -49 13     -2 0 8 
 360 -4748 -81     -26 73 50     1 5 -3 
 -7297 2320 -6157     -3 -75 22     15 0 11 
 918 -780 229     68 -55 -8     -6 5 0 
 422 -7135 5871     -12 86 -62     0 9 -8 
 2921 -2245 1495     -93 55 -15     0 1 -2 
 1417 -4757 1367     -79 84 22     2 4 -4 
 2137 -4133 -5545     -118 -117 40     3 15 8 
 2761 -3685 -2329     -121 67 -44     2 3 7 
 3145 3851 3831     -199 -53 -22     6 -4 -6 
 -807 -1909 -8809     40 -71 10     -1 8 16 
 -3001 -1007 -4300     -11 2 69     11 3 9 
 2291 3961 -2416     -19 -30 28     -6 -11 6 
 1571 -3143 -2428     -14 66 41     -4 5 5 
 683 3001 6056     73 -90 -200     -8 -3 -4 
 -205 -759 517     108 44 50     -8 -1 -6 
 -642 1863 3622     31 -58 23     0 -2 -15 
 -1562 1449 -4405     83 8 -12     -1 -6 17 
 853 -1242 3668     14 -67 -51     -4 10 -9 
 -757 46 -6061     0 -15 156     3 1 9 
 -3287 -1403 -564     38 0 -35     9 5 5 
 -849 1840 3001     124 -33 -106     -7 -4 -2 
 1566 2806 -1162     43 -39 15     -9 -7 3 
 5706 3174 -5141     -77 -67 44     -14 -6 15 
 -1444 -4807 1648     -55 150 -100     6 0 3 
 -2596 2137 -7664     -19 -67 92     6 0 9 
 -4324 1577 -5456     35 0 23     6 -3 9 
 -1428 2121 1568     -39 82 -48     5 -9 0 
 -4884 -7063 -1168     36 -27 -12     7 15 3 
 -2612 -2871 2352     -35 -26 43     7 7 -7 
 2492 7737 4832     -13 22 -51     -4 -16 -6 
 3228 -2455 880     -102 -39 -10     0 7 -1 
 620 -4183 0     29 15 1     -3 7 0 
 1549 1698 2535     -94 -85 -179     -2 -5 0 
 -1643 1068 -202     29 -25 -66     12 -7 11 
 -229 697 -1756     48 -51 30     -4 0 13 
 1724 39 1219     -129 -49 -85     1 6 0 
 361 2678 211     21 -76 46     -6 -15 -8 
 291 410 3284     -19 -19 -166     0 -1 -9 
 -1711 -2642 -1098     79 109 72     6 11 1 
 -12485 -3505 -8183     17 14 59     16 4 8 
 2449 -351 -4877     92 9 -28     -8 0 8 
 -2377 1435 1241     63 40 -72     0 -4 2 
 397 7496 462     146 -22 46     -8 -9 -3 
 4672 -180 1621     -25 -15 -121     -5 1 4 
 -667 2442 1165     57 -45 -31     -2 -1 0 
 -97 -7210 6523     -75 53 -55     4 7 -6 
 -5911 -5329 -5941     0 62 39     8 4 6 
 -5132 4133 1583     38 -31 -42     5 -4 0 
 -797 -449 1945     68 51 -76     -2 -3 -7 
 2203 496 -620     -28 -20 55     -15 -2 -2 
 -512 286 -725     17 -14 46     2 -1 0 
 -317 2701 2845     92 -135 -88     -9 -6 -13 
 2488 -839 10     -95 13 -19     -9 5 2 
 -32 -584 -1805     1 68 54     0 -4 8 
 -1487 841 25     106 -59 12     -1 0 -2 
 9711 3803 1142     -7 36 3     -15 -8 -2 
 3306 -1797 722     -4 34 -183     -5 1 9 
 2050 -1523 1668     -33 42 148     -3 1 -15 
 2914 -227 -2544     -9 8 66     -7 0 2 
 4507 -227 -1977     -152 22 -25     -1 -1 7 
 5452 448 777     -75 -87 -43     -9 5 1 
 -1217 -3197 -2922     18 76 -102     2 3 15 
 -1703 -2738 -6     -6 -39 0     5 10 0 
 -29 -6410 453     16 83 -73     -1 11 4 
 1591 313 -5028     40 16 102     -7 -2 6 
 1753 -4823 2921     -46 -88 -58     0 11 -1 
 3672 -6932 2617     79 26 -89     -9 8 1 
 -1534 8477 2883     -135 30 21     9 -13 -5 
 -3187 5532 7994     45 -29 23     2 -6 -12 
 5249 -776 -2988     -21 59 -39     -6 -2 6 
 -774 -339 -7244     1 106 112     1 -5 4 
 -2104 -17268 1420     -3 64 118     3 20 -8 
 -1306 4335 -24     15 22 0     1 -7 0 
 -972 2893 110     -133 420 13     7 -27 1 
 1906 -490 2091     271 -62 298     -18 9 -21 
 -1422 -2788 323     -200 -398 44     14 27 -3 
 1079 -21 -2677     156 -2 -384     -9 -1 22 
 -513 1027 -2732     -71 147 -392     5 -13 29 
 472 -76 -2799     67 -14 -399     -6 5 28 
 -478 1841 2426     -69 269 351     5 -20 -26 
 2254 1465 -1528     324 211 -218     -19 -13 17 
 -277 1286 2981     -39 181 423     -1 -8 -24 
 71 2026 2683     5 285 383     -3 -20 -25 
 -581 -2942 -73     -79 -423 -11     4 33 -4 
 65 2932 137     7 418 19     -1 -29 -1 
 -401 582 -3050     -59 88 -434     1 -4 30 
 2976 -590 -108     421 -80 -12     -26 2 4 
 -2303 -645 -1751     -329 -91 -251     21 6 14 
 1140 -2857 662     164 -410 91     -11 27 -10 
 -2532 -643 1350     -363 -84 191     29 4 -20 
 1816 1234 -2316     261 177 -329     -18 -12 23 
 499 -2878 -236     71 -410 -38     -2 25 6 
 2553 -1482 -988     361 -214 -139     -24 14 9 
 -2086 -2102 -211     -300 -301 -31     12 23 -2 
 -256 -1962 -2187     -38 -280 -313     1 19 20 
 -1353 -1829 1849     -197 -264 260     15 19 -18 
 2427 -1169 1408     345 -170 206     -30 5 -17 
 -681 372 -3521     -98 58 -512     12 -3 39 
 -525 -322 -2723     -71 -46 -387     9 -2 33 
 -1485 2370 -939     -212 340 -138     19 -18 11 
 2629 23 1333     375 2 191     -24 -1 -13 
 -962 2687 -565     -140 383 -78     8 -20 5 
 990 3391 -1021     144 480 -152     -9 -32 8 
 -1608 2476 39     -229 351 3     17 -24 0 
 2455 44 -1459     350 3 -209     -26 0 19 
 3240 154 -210     457 20 -33     -31 1 6 
 -2171 -88 -1778     -309 -8 -254     19 0 15 
 -2277 -926 -1445     -325 -131 -207     24 5 11 
 -589 -1148 2928     -80 -170 418     9 12 -29 
 -2241 -1063 1406     -316 -152 197     24 16 -19 
 2092 -955 950     298 -136 132     -24 8 -7 
 -466 -2201 -1279     -62 -310 -180     -1 23 12 
 -468 -2983 -1861     -66 -425 -260     8 28 23 
 -1070 -2706 -272     -149 -388 -38     8 27 0 
 -2009 -1830 1787     -291 -264 248     20 22 -17 
 2822 -85 659     403 -14 89     -33 0 -10 
 -2363 -1805 -611     -337 -257 -89     24 16 12 
 -2598 2035 -674     -373 287 -95     28 -22 8 
 1173 2573 243     164 367 40     -14 -23 1 
 -836 3312 206     -118 475 29     8 -34 -2 
 1688 -381 2533     236 -57 357     -15 3 -25 
 143 1759 -2463     22 249 -355     0 -14 27 
 -2683 2007 980     -389 283 140     25 -23 -12 
 -670 -1250 -2411     -97 -178 -347     6 15 24 
 -1136 2357 985     -164 334 139     16 -27 -11 
 2096 -1737 638     298 -251 86     -20 22 -6 
 -2631 -271 1623     -375 -37 230     29 1 -18 
 2424 1243 1437     348 177 200     -26 -10 -19 
 2060 1385 938     294 197 134     -25 -14 -15 
 1331 2651 -818     193 381 -116     -13 -30 9 
 776 1916 1714     112 274 249     -5 -18 -17 
 -811 427 -2299     -117 63 -328     6 0 27 
 1354 2492 -186     191 355 -27     -16 -24 2 
 474 3023 -673     69 434 -92     -4 -25 10 
 1520 -2352 670     215 -334 94     -16 19 -7 
 -1149 -2556 -1447     -166 -360 -206     11 23 13 
 -37 2330 1867     -5 328 265     -2 -22 -14 
 -2861 -590 507     -413 -82 70     27 1 -2 
 3202 -250 647     462 -35 92     -24 2 -6 
 -2286 -833 -1219     -326 -122 -173     22 4 15 
 -2215 -1793 861     -321 -252 125     18 22 -4 
 -156 1321 2884     -21 191 413     1 -11 -30 
 -804 2418 -838     -114 340 -125     8 -26 6 
 -1121 -1781 -1869     -157 -256 -265     12 19 17 
 -1529 565 -2482     -217 86 -354     15 -5 29 
 87 1773 2467     17 253 356     0 -12 -24 
 -1370 2134 2591     -195 304 367     14 -20 -25 
 -14 2076 1747     -4 294 249     4 -12 -17 
 1935 -1618 1382     281 -226 197     -18 19 -13 
 -2297 1551 77     -331 223 10     16 -13 -2 
 -1952 -1430 82     -276 -199 12     14 13 0 
 -1987 -1518 -1457     -280 -216 -208     14 15 17 
 -1359 -1392 2060     -196 -199 295     12 15 -26 
 691 -2517 1578     98 -359 224     -9 26 -15 
 2671 965 580     381 131 81     -31 -14 -7 
 -243 614 2906     -31 84 421     3 -6 -30 
 -1052 646 3333     -149 95 476     12 -3 -37 
 510 1846 2487     72 264 351     -9 -20 -24 
 -1990 -1380 1739     -282 -193 248     18 9 -15 
 133 -2661 -1829     18 -382 -264     1 28 18 
 815 2490 1020     122 351 144     -8 -20 -4 
 2465 -1704 -1056     348 -243 -150     -24 16 12 
 -711 -1825 2020     -107 -263 293     3 18 -20 
 2090 1861 -455     295 266 -65     -16 -18 8 
 -76 2995 -1382     -11 422 -196     2 -32 12 
 2104 -1799 1488     298 -260 207     -24 19 -13 
 63 2542 2053     10 365 295     0 -26 -15 
 1575 1481 -1420     224 211 -200     -11 -18 14 
 -2166 -345 -1387     -306 -49 -201     17 -1 10 
 -945 2623 29     -132 371 3     12 -23 -1 
 2590 878 -717     370 129 -102     -22 -15 9 
 2515 -1076 -679     357 -154 -101     -23 6 6 
 -1338 -2273 -1604     -186 -328 -231     14 22 18 
 -353 -2665 -1229     -46 -379 -172     3 24 12 
 -83 2448 -822     -13 353 -116     4 -23 8 
 -523 2472 1345     -73 355 192     8 -26 -15 
 -2443 1609 -1552     -349 231 -216     27 -17 22 
 1999 -1105 2090     285 -162 296     -17 10 -20 
 1954 2345 1492     277 339 213     -19 -23 -14 
 2221 -1016 1120     316 -141 158     -24 12 -10 
 -3168 -1304 44     -455 -186 10     27 16 1 
 1622 -980 -2335     231 -145 -337     -15 13 21 
 2185 209 2262     311 34 326     -27 2 -22 
 -2551 -307 1547     -364 -42 223     22 2 -16 
 -908 -1546 2694     -129 -219 384     11 12 -29 
 3364 248 363     481 35 47     -30 -4 3 
 -417 2230 1781     -60 320 254     5 -24 -15 
 -1902 -30 -1618     -265 -1 -228     20 0 13 
 -693 3041 -63     -100 434 -9     1 -29 -2 
 -1400 565 -2175     -200 80 -310     15 -6 17 
 -1416 -2376 -1590     -205 -341 -226     17 23 12 
 1484 -2148 1957     212 -311 279     -18 22 -16 
 573 2306 -702     84 331 -100     -8 -20 4 
 2271 1826 646     317 255 92     -21 -19 -6 
 -1405 1090 2686     -200 154 380     16 -7 -25 
 1115 -2148 -2264     161 -308 -323     -15 18 22 
 1491 2294 -1052     215 330 -149     -14 -22 8 
 2596 1010 885     374 145 124     -24 -8 -10 
 -1795 1860 -1144     -257 267 -164     24 -20 9 
 1277 687 -2336     184 94 -333     -7 -6 28 
 -347 1880 2125     -49 269 301     0 -18 -22 
 -18 -2622 -1537     -2 -370 -219     -2 29 19 
 -1855 -2054 1009     -264 -297 140     21 17 -14 
 -326 -2183 2149     -40 -311 306     0 18 -17 
 -980 -864 -2259     -141 -118 -318     14 10 17 
 -1809 905 -2722     -258 133 -391     17 -12 26 
 592 1196 -2413     88 171 -351     -1 -7 26 
 2073 1542 2188     300 220 318     -19 -15 -18 
 -557 -2458 1007     -79 -350 142     11 22 -12 
 -2392 2150 1346     -342 309 192     24 -23 -12 
 994 -2356 833     142 -338 119     -9 31 -3 
 299 2668 -290     46 382 -41     -5 -25 2 
 1626 -692 -2134     238 -101 -303     -14 6 19 
 1605 -1643 -682     228 -238 -98     -16 19 6 
 2925 -496 -312     419 -74 -44     -28 3 5 
 1803 -1874 1905     259 -265 271     -11 18 -19 
 -2236 415 -1699     -319 57 -246     22 -6 16 
 1843 -488 1798     259 -69 257     -26 5 -20 
 -2754 1655 331     -392 240 47     26 -16 -8 
 -834 251 -2722     -116 33 -386     3 -5 21 
 1021 -1266 3203     146 -185 456     -8 12 -36 
 -3008 -317 1005     -426 -45 145     27 1 -11 
 -2940 246 -187     -420 35 -22     34 -1 -1 
 1801 -1599 -1446     256 -221 -208     -15 12 14 
 -682 -3221 -349     -93 -456 -50     10 31 6 
 1654 207 -2009     238 33 -287     -20 -10 26 
 361 131 3200     51 15 455     -4 -1 -32 
 -633 -781 -2968     -91 -114 -422     5 6 29 
 -2215 -1455 1996     -315 -209 290     21 17 -15 
 -1296 -1166 2232     -185 -166 322     10 8 -22 
 -506 1002 -2804     -67 140 -401     7 -10 31 
 886 713 3210     125 97 458     -11 -11 -31 
 473 1814 2234     67 258 320     -6 -21 -19 
 -1602 1619 2001     -225 230 285     21 -16 -20 
 -742 -2555 288     -107 -365 42     7 26 -2 
 -3147 -1191 643     -445 -169 93     36 11 -8 
 1263 214 2752     180 30 395     -9 -2 -29 
 -2143 2199 1241     -310 308 175     23 -24 -8 
 -2553 928 -1224     -364 125 -172     25 -7 9 
 -2136 -2245 -1378     -307 -323 -195     24 23 13 
 889 -1593 2244     129 -222 323     -8 17 -23 
 -1520 -1646 1398     -223 -235 199     21 13 -11 
 2628 1000 -86     374 139 -16     -27 -16 1 
 -2376 -283 -2193     -336 -38 -314     29 7 24 
 1742 2026 408     247 292 55     -17 -23 1 
 -2191 -1544 -527     -312 -215 -75     20 15 7 
 -1704 -1827 1891     -241 -263 273     19 22 -18 
 -1270 -49 3352     -181 -13 478     12 2 -32 
 -2569 901 331     -369 129 47     26 -4 -4 
 1141 2256 1587     163 320 220     -13 -22 -18 
